iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3500461.350651919,2.917051125543266,-2.917051029617054,-2.917091557522599
1,119461.60371621704,0.09955133643018087,-0.09857034000403549,-0.10323817074840323
2,-544565.3563419383,-0.45380446361828186,0.49059468707481885,0.48418886038313774
3,-674663.5454068887,-0.5622196211724072,0.6097756678785543,0.601857189483706
4,-727831.456660794,-0.606526213883995,0.65648883739326,0.6482923129359792
5,-757731.3868368703,-0.6314428223640586,0.6827254972070774,0.6749370996339394
6,-785217.5847634693,-0.6543479873028911,0.7073405418659974,0.6985871551399156
7,-803168.8214010056,-0.6693073511675047,0.7237175777650227,0.7159093763069841
8,-813844.8605562559,-0.6782040504635466,0.7331046165907807,0.7242861216652017
9,-823055.7192546873,-0.6858797660455728,0.7414901743755441,0.7313697599080964
10,-828888.3806719733,-0.6907403172266444,0.747227709648957,0.7360637495192658
11,-835240.3813459462,-0.6960336511216219,0.7530990265761031,0.7401440741042357
12,-840654.1460830373,-0.7005451217358644,0.7579896356396781,0.7438203539788464
13,-845256.9388089767,-0.7043807823408139,0.7622561699492875,0.7469090597433058
14,-848796.9885289224,-0.7073308237741021,0.7656157650388759,0.7496948881660835
15,-851822.8429403126,-0.7098523691169272,0.7684750216099108,0.752526500718211
16,-853022.1510886657,-0.7108517925738881,0.7697595982007213,0.7539540841730933
17,-854080.70264804,-0.7117339188733667,0.7707689046948681,0.754610035364604
18,-854439.8517098367,-0.7120332097581973,0.7711218978764753,0.7553799995436329
19,-854737.5508108764,-0.712281292342397,0.7713991929624539,0.7558783496122797
20,-854838.418422736,-0.7123653486856133,0.7714839206096697,0.7560236877715448
